season_id,home_team,away_team,Home_Team_Won,home_pts_pct,away_pts_pct,home_TOI,home_FF/60,home_FA/60,home_FF%,home_GF/60,home_GA/60,home_GF%,home_xGF/60,home_xGA/60,home_xGF%,home_HDCF/60,home_HDCA/60,home_HDCF%,home_HDSH%,home_HDSV%,home_SH%,home_SV%,home_PDO,home_TOI_pp,home_GF/60_pp,home_xGF/60_pp,home_TOI_pk,home_GA/60_pk,home_xGA/60_pk,away_TOI,away_FF/60,away_FA/60,away_FF%,away_GF/60,away_GA/60,away_GF%,away_xGF/60,away_xGA/60,away_xGF%,away_HDCF/60,away_HDCA/60,away_HDCF%,away_HDSH%,away_HDSV%,away_SH%,away_SV%,away_PDO,away_TOI_pp,away_GF/60_pp,away_xGF/60_pp,away_TOI_pk,away_GA/60_pk,away_xGA/60_pk
20192020,TOR,STL,0,0.625,0.8333333333333334,45.366666666667,62.37,42.84,59.28,2.47,4.13,37.41,3.65,2.32,61.1,19.62,5.47,78.19,19.89,75.3,6.7,86.31,0.93,4.0,0.0,5.4,6.0,0.0,2.66,45.366666666667,42.84,62.37,40.72,4.13,2.47,62.59,2.32,3.65,38.9,5.47,19.62,21.81,24.7,80.11,13.69,93.3,1.07,6.0,0.0,2.66,4.0,0.0,5.4
20192020,CBJ,BUF,1,0.3333333333333333,0.8333333333333334,50.816666666667,42.25,31.99,56.91,1.11,1.19,48.26,1.78,1.49,54.52,3.46,4.87,41.54,0.0,50.61,3.05,93.33,0.964,2.45,48.98,23.95,4.0833333333333,14.69,3.51,50.816666666667,31.99,42.25,43.09,1.19,1.11,51.74,1.49,1.78,45.48,4.87,3.46,58.46,49.39,100.0,6.67,96.95,1.036,4.0833333333333,14.69,3.51,2.45,48.98,23.95
20192020,FLA,CAR,0,0.3333333333333333,1.0,40.616666666667,47.72,36.31,56.79,1.35,4.75,22.19,3.35,2.45,57.79,18.52,11.76,61.17,7.79,73.11,3.16,84.92,0.881,7.1666666666667,0.0,4.81,4.7,12.77,16.37,40.616666666667,36.31,47.72,43.21,4.75,1.35,77.81,2.45,3.35,42.21,11.76,18.52,38.83,26.89,92.21,15.08,96.84,1.119,4.7,12.77,16.37,7.1666666666667,0.0,4.81
20192020,NYI,EDM,0,0.3333333333333333,1.0,47.816666666667,36.06,38.27,48.51,1.15,3.94,22.59,1.26,1.62,43.8,5.38,6.97,43.54,26.21,76.49,4.19,82.95,0.871,4.0,0.0,2.37,8.1833333333333,14.66,7.77,47.816666666667,38.27,36.06,51.49,3.94,1.15,77.41,1.62,1.26,56.2,6.97,5.38,56.46,23.51,73.79,17.05,95.81,1.129,8.1833333333333,14.66,7.77,4.0,0.0,2.37
20192020,PIT,WPG,0,0.3333333333333333,0.5,56.0,46.08,31.62,59.31,1.01,4.49,18.37,2.61,1.85,58.55,12.05,9.42,56.1,10.87,83.89,3.23,82.7,0.859,4.0,0.0,9.04,0.0,0.0,0.0,56.0,31.62,46.08,40.69,4.49,1.01,81.63,1.85,2.61,41.45,9.42,12.05,43.9,16.11,89.13,17.3,96.77,1.141,0.0,0.0,0.0,4.0,0.0,9.04
20192020,WSH,DAL,0,0.75,0.25,45.15,45.07,27.47,62.13,2.51,4.09,38.0,2.18,2.12,50.63,11.68,10.91,51.7,0.0,62.08,7.92,82.59,0.905,6.0666666666667,0.0,5.54,6.2666666666667,0.0,1.6,45.15,27.47,45.07,37.87,4.09,2.51,62.0,2.12,2.18,49.37,10.91,11.68,48.3,37.92,100.0,17.41,92.08,1.095,6.2666666666667,0.0,1.6,6.0666666666667,0.0,5.54
20192020,DET,ANA,0,0.6666666666666666,1.0,46.9,38.72,34.46,52.91,0.0,4.02,0.0,1.9,1.83,50.96,7.18,6.65,51.88,0.0,49.43,0.0,86.76,0.868,4.0,0.0,5.07,6.0,0.0,7.47,46.9,34.46,38.72,47.09,4.02,0.0,100.0,1.83,1.9,49.04,6.65,7.18,48.12,50.57,100.0,13.24,100.0,1.132,6.0,0.0,7.47,4.0,0.0,5.07
20192020,NSH,S.J,1,0.6666666666666666,0.0,46.633333333333,38.7,51.73,42.8,3.75,1.29,74.39,1.59,2.19,42.04,9.06,12.8,41.46,23.57,100.0,16.58,96.51,1.131,7.6166666666667,7.88,4.76,2.9666666666667,20.22,7.96,46.633333333333,51.73,38.7,57.2,1.29,3.75,25.61,2.19,1.59,57.96,12.8,9.06,58.54,0.0,76.43,3.49,83.42,0.869,2.9666666666667,20.22,7.96,7.6166666666667,7.88,4.76
20192020,CGY,L.A,0,0.5,0.5,52.866666666667,35.44,53.68,39.77,2.12,3.61,37.0,1.91,3.28,36.77,6.93,12.73,35.26,0.0,86.36,8.34,91.69,1.0,4.0,0.0,2.82,2.4666666666667,0.0,6.71,52.866666666667,53.68,35.44,60.23,3.61,2.12,63.0,3.28,1.91,63.23,12.73,6.93,64.74,13.64,100.0,8.31,91.66,1.0,2.4666666666667,0.0,6.71,4.0,0.0,2.82
20192020,VGK,BOS,0,0.6666666666666666,1.0,49.266666666667,41.13,54.12,43.18,1.2,3.83,23.9,2.76,3.28,45.68,12.34,14.72,45.59,13.34,89.57,4.13,90.35,0.945,3.6833333333333,32.58,8.72,5.3333333333333,11.25,8.14,49.266666666667,54.12,41.13,56.82,3.83,1.2,76.1,3.28,2.76,54.32,14.72,12.34,54.41,10.43,86.66,9.65,95.87,1.055,5.3333333333333,11.25,8.14,3.6833333333333,32.58,8.72
